IP,Port,Type
2.89.14.171,8080,proxy
2.88.16.45,8080,proxy
2.89.26.177,8080,proxy
2.89.13.154,8080,proxy
51.223.200.5,8080,proxy
2.88.93.128,8080,proxy
2.88.16.74,8080,proxy
88.85.246.20,8080,proxy
62.149.99.113,8080,proxy
51.223.202.17,8080,proxy
178.80.12.85,8080,proxy
188.51.48.84,8080,proxy
2.89.84.80,8080,proxy
185.140.250.103,80,proxy
51.223.202.112,8080,proxy
86.60.63.33,8080,proxy
178.87.145.89,8080,proxy
95.218.133.12,8080,proxy
95.218.218.50,8080,proxy
78.93.58.60,3128,proxy
77.30.139.233,8080,proxy
51.218.147.16,8080,proxy
89.144.100.11,3128,proxy
89.144.100.9,3128,proxy
89.144.100.14,3128,proxy
31.167.38.195,8080,proxy
213.230.18.251,8080,proxy
2.91.155.43,8080,proxy
77.30.140.161,8080,proxy
95.218.241.24,8080,proxy
31.166.33.185,8080,proxy
5.149.131.53,8080,proxy
165.16.120.130,6666,proxy
165.16.22.166,8080,proxy
102.69.52.102,8080,proxy
165.16.2.193,1981,proxy
41.254.53.66,1981,proxy
165.16.114.113,1976,proxy
165.16.27.2,1981,proxy
165.16.80.121,1981,proxy
165.16.30.216,8080,proxy
165.16.109.49,1981,proxy
165.16.66.217,8080,proxy
154.73.108.173,1976,proxy
165.16.109.17,1976,proxy
165.16.27.5,1981,proxy
165.16.114.117,1981,proxy
165.16.27.6,1981,proxy
102.222.252.6,9050,proxy
165.16.22.150,9999,proxy
165.16.66.229,8080,proxy
165.16.27.14,1981,proxy
165.16.27.3,1981,proxy
165.16.5.77,1981,proxy
165.16.27.3,1976,proxy
102.222.252.182,9050,proxy
165.16.46.193,8080,proxy
41.254.52.188,8080,proxy
165.16.27.14,1976,proxy
165.16.27.12,1981,proxy
62.68.43.114,8080,proxy
165.16.30.213,8080,proxy
165.16.2.193,1976,proxy
165.16.109.1,1981,proxy
165.16.27.4,1981,proxy
154.73.108.206,1981,proxy
165.16.76.65,8080,proxy
165.16.76.67,8080,proxy
