code,companyName,countryCode
0011AF,"Medialink-i, Inc",JP
00A0AF,"Wms Industries",US
3C2763,"Sle quality engineering GmbH & Co KG",DE
70B3D5,"Fischer Block, Inc",US
00045E,"PolyTrax Information Tech AG",DE
00199E,Nifty,JP
001F78,"Blue Fox Porini Textile",US
B04C05,"Fresenius Medical Care Deutschland GmbH",DE
70B3D5,"Inova Design Solutions Ltd",GB
A4ED43,leakSMART,US
00A061,"Puritan Bennett",US
0006F1,Optillion,SE
120730,"Hutchison Optel Telecom Tech Co, Ltd",CN
0050C2,"Isdn Gateway Tech AG",CH
0022B7,"Gss Grundig Sat-Systems GmbH",DE
341B22,"Grandbeing Tech Co, Ltd",CN
F81CE5,"Telefonbau Behnke GmbH",DE
00126B,"Ascalade Communications Ltd",HK
00193B,LigoWave,US
74F612,"Arris Group, Inc",US
00D318,"Spg Controls",GB
B0350B,"Mobiwire Mobiles (Ningbo) Co, Ltd",CN
D05F64,"TytoCare Ltd",IL
C4954D,"Akka Germany GmbH",DE
B831B5,"Microsoft Corp",US
484EFC,"Arris Group, Inc",US
0050C2,"Ifam GmbH",DE
40D855,"Cominfo, Inc",CZ
125021,"Eis International, Inc",US
0004FA,"Nbs Tech Inc",CA
0050C2,"Becton Dickinson",US
9802D8,HySecurity,US
E4E0A6,"Apple, Inc",US
70B3D5,"DogWatch Inc",US
0050C2,"Innovation Institute, Inc",US
68EFBD,"Cisco Systems, Inc",US
60F445,"Apple, Inc",US
88A9A7,"Shenzhenshi kechuangzhixian Tech CoLtd",CN
70B3D5,"adnexo GmbH",CH
00117F,"Neotune Information Tech Corp,.Ltd",CN
9433DD,"Taco Inc",US
34FA9F,"Ruckus Wireless",US
6CDFFB,"Lineable Inc",KR
"0.0017","Capital Equipment Corp",US
E82877,"Tmy Co, Ltd",JP
900A39,"Wiio, Inc",US
190000,"Cisco Systems, Inc",US
"1/2/19","Newbridge Tech Int. Ltd",CN
120522,"Lea*D Corp, Inc",IL
120540,"Fast Corp",JP
0050C2,"Karl Dungs GmbH & Co KG",DE
D80CCF,"C.G.V. S.A.S.",FR
70B3D5,"Securolytics, Inc",US
8060B7,"Cloud Network Tech Singapore Pte. Ltd",CN
001BED,"Brocade Communications Systems Llc",US
"0.0157","Elitegroup Computer Systems Co, Ltd",TW
18F46A,"Hon Hai Precision Ind. Co, Ltd",CN
0050C2,"Electro-Motive Diesel",US
3C24F0,"Casky eTech Co, Ltd",CN
E01283,"Shenzhen Fanzhuo Communication Tech Co, Lt",CN
04C3E6,"SiS Tech",BG
000C40,"Altech Controls",US
0050C2,"Row Seven Ltd",GB
141FBA,"Deutsche Energieversorgung GmbH",DE
70B3D5,"Cores Corp",JP
70B3D5,"Critical Link Llc",US
F81897,"2Wire Inc",US
121336,"Tianjin 712 Communication Broadcasting Co, Ltd",CN
0050C2,"DA Sistemi Spa",IT
C4954D,"Multicom, Inc",US
00506C,"Beijer Electronics Products AB",SE
0015DF,"Clivet S.p.A.",IT
"0.5967","Dell Inc",US
70B3D5,"Precitec Optronik GmbH",DE
70B3D5,"Flextronics International Kft",HU
000A70,"Mpls Forum",US
6CFA58,"Avaya Inc",US
600000,"Atop Tech, Inc",TW
3CF392,"Virtualtek. Co Ltd",KR
E4D124,"Mojo Networks, Inc",US
